Model,MAE,RMSE,MAPE,Store_id,Product_id,Forecast_Frequency,Forecast_Horizon,Run_Timestamp
Random Forest,28.81,33.2,7.12,S004,P009,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,41.71,44.92,11.25,S004,P009,weekly,8,2026-06-05 05:22:55.630437
Naive,80.62,98.94,16.7,S004,P010,weekly,8,2026-06-05 05:22:55.630437
Moving Average,80.25,98.01,16.6,S004,P010,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,37.5,45.41,7.26,S004,P010,weekly,8,2026-06-05 05:22:55.630437
Trend,106.55,132.88,22.23,S004,P010,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,59.23,67.79,11.49,S004,P010,weekly,8,2026-06-05 05:22:55.630437
Random Forest,31.2,35.66,5.74,S004,P010,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,49.13,62.93,10.19,S004,P010,weekly,8,2026-06-05 05:22:55.630437
Naive,16.75,19.72,15.51,S005,P001,weekly,8,2026-06-05 05:22:55.630437
Moving Average,18.12,22.72,17.2,S005,P001,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,11.5,14.9,9.23,S005,P001,weekly,8,2026-06-05 05:22:55.630437
Trend,22.54,28.23,21.44,S005,P001,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,12.57,15.23,11.15,S005,P001,weekly,8,2026-06-05 05:22:55.630437
Random Forest,7.35,8.9,6.17,S005,P001,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,11.3,14.06,10.48,S005,P001,weekly,8,2026-06-05 05:22:55.630437
Naive,62.5,75.39,22.6,S005,P002,weekly,8,2026-06-05 05:22:55.630437
Moving Average,42.88,48.83,14.79,S005,P002,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,16.12,21.9,5.05,S005,P002,weekly,8,2026-06-05 05:22:55.630437
Trend,67.76,81.93,24.51,S005,P002,weekly,8,2026-06-05 05:22:55.630437
